0,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9
TIC 120420633,tic120420633,,,,,,,,,kepler638,2massj18594066+4137019,kic6267535,koi660,wisej185940.65+413701.9,,,
TIC 120421638,tic120421638,,,,,,,,,kepler1366,2massj19001557+4133175,kic6186964,koi2839,,,,
TIC 120424814,tic120424814,,,,,,,,,kepler1531,2massj19003517+3922148,kic4242692,koi3928,wisej190035.12+392214.8,,,
TIC 120425617,tic120425617,,,,,,,,,kepler1526,2massj19002872+3851591,kic3728432,koi3893,wisej190028.73+385159.1,,,
TIC 120495241,tic120495241,,,,,,,,,kepler952,2massj19012926+4159380,kic6504954,koi1790,wisej190129.25+415937.9,,,
TIC 120495446,tic120495446,,,,,,,,,kepler204,2massj19012332+4145429,kic6347299,koi661,wisej190123.31+414542.7,,,
TIC 120495880,tic120495880,,,,,,,,,kepler440,2massj19012398+4127079,kic6106282,koi4087,wisej190124.00+412708.3,,,
TIC 120498491,tic120498491,,,,,,,,,kepler350,2massj19014070+3942219,kic4636578,koi2025,wisej190140.70+394221.8,,,
TIC 120499135,tic120499135,,,,,,,,,kepler442,2massj19012797+3916482,kic4138008,koi4742,wisej190127.98+391648.2,,,
TIC 120571308,tic120571308,,,,,,,,,kepler1601,2massj19020310+3804470,kic2831055,koi4400,wisej190203.11+380447.3,,,
TIC 120571842,tic120571842,,,,,,,,,kepler9,2massj19021775+3824032,kic3323887,koi377,wisej190217.77+382402.9,,,
TIC 120572779,tic120572779,,,,,,,,,kepler555,2massj19020404+3855566,kic3833007,koi443,wisej190204.04+385556.7,,,
TIC 120573482,tic120573482,,,,,,,,,kepler821,2massj19022818+3922463,kic4243911,koi1337,wisej190228.18+392246.1,,,
TIC 120576846,tic120576846,,,,,,,,,kepler907,2massj19015438+4137578,kic6268648,koi1613,wisej190154.36+413757.6,,,
TIC 120577770,tic120577770,,,,,,,,,kepler1288,2massj19025123+4136211,kic6269070,koi2608,wisej190251.23+413621.1,,,
