0,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9
TIC 164781116,tic164781116,,,,,,,,,kepler1274,2massj18582249+4626591,kic9696358,koi2545,wisej185822.48+462659.1,,,
TIC 164781761,tic164781761,,,,,,,,,kepler1265,2massj18582058+4704463,kic10059645,koi2520,wisej185820.58+470446.4,,,
TIC 164785720,tic164785720,,,,,,,,,kepler214,2massj18590116+4457217,kic8738735,koi693,wisej185901.16+445721.7,,,
TIC 164785771,tic164785771,,,,,,,,,kepler1498,2massj18590674+4455004,kic8738775,koi3432,wisej185906.74+445500.3,,,
TIC 164786087,tic164786087,,,,,,,,,kepler723,2massj18591931+4439293,kic8544996,koi913,wisej185919.31+443929.3,,,
TIC 164786156,tic164786156,,,,,,,,,kepler388,2massj18591872+4436314,kic8544992,koi2466,wisej185918.73+443631.2,,,
TIC 164786172,tic164786172,,,,,,,,,kepler647,2massj18590919+4435300,kic8480285,koi691,wisej185909.19+443529.8,,,
TIC 164827658,tic164827658,,,,,,,,,kepler1335,2massj18592121+4204135,kic6586746,koi2747,,,,
TIC 164828012,tic164828012,,,,,,,,,kepler196,2massj18595244+4204451,kic6587002,koi612,wisej185952.44+420444.9,,,
TIC 164828023,tic164828023,,,,,,,,,kepler1325,2massj19000413+4205073,kic6587105,koi2721,wisej190004.11+420507.1,,,
TIC 164828419,tic164828419,,,,,,,,,kepler1414,2massj18594285+4225203,kic6929841,koi3026,wisej185942.85+422520.3,,,
TIC 164830125,tic164830125,,,,,,,,,kepler893,2massj18595112+4354468,kic8082001,koi1570,wisej185951.16+435446.9,,,
TIC 164830162,tic164830162,,,,,,,,,kepler1292,2massj18593737+4356569,kic8081905,koi2619,wisej185937.37+435657.1,,,
TIC 164830167,tic164830167,,,,,,,,,kepler1235,2massj18593672+4357142,kic8081899,koi2426,wisej185936.71+435714.7,,,
TIC 164830907,tic164830907,,,,,,,,,kepler1702,2massj18595340+4434031,kic8480582,koi4386,wisej185953.39+443402.9,,,
TIC 164832454,tic164832454,,,,,,,,,kepler504,2massj18594123+4558206,kic9390653,koi249,kepler504a,,,
TIC 164833065,tic164833065,,,,,,,,,kepler26,2massj18594583+4633595,kic9757613,koi250,wisej185945.85+463359.3,,,
TIC 164834500,tic164834500,,,,,,,,,kepler1415,2massj19003765+4752239,kic10585738,koi3032,wisej190037.63+475223.8,,,
TIC 164836049,tic164836049,,,,,,,,,kepler864,2massj19001370+4619144,kic9636135,koi1498,wisej190013.70+461914.2,,,
TIC 164881786,tic164881786,,,,,,,,,kepler127,2massj19004559+4601406,kic9451706,koi271,wisej190045.58+460140.9,,,
TIC 164882482,tic164882482,,,,,,,,,kepler1130,2massj19004979+4523036,kic9006186,koi2169,kepler1130a,wisej190049.80+452303.7,,
TIC 164882868,tic164882868,,,,,,,,,kepler983,2massj19002497+4500294,kic8804397,koi1853,wisej190024.97+450029.3,,,
TIC 164883912,tic164883912,,,,,,,,,kepler1014,2massj19002928+4406381,kic8218379,koi1920,wisej190029.28+440638.0,,,
TIC 164884002,tic164884002,,,,,,,,,kepler55,2massj19004040+4401352,kic8150320,koi904,wisej190040.38+440134.9,,,
TIC 164884235,tic164884235,,,,,,,,,kepler381,2massj19004386+4349519,kic8013439,koi2352,wisej190043.88+434951.8,,,
TIC 164886497,tic164886497,,,,,,,,,kepler243,2massj19002651+4202022,kic6587280,koi857,wisej190026.50+420202.2,,,
TIC 164886585,tic164886585,,,,,,,,,kepler1661,2massj19004010+4158014,kic6504534,koi3152,kepler1661aa,wisej190040.10+415801.0,,
TIC 164886812,tic164886812,,,,,,,,,kepler1444,2massj19011934+4202255,kic6587796,koi3237,wisej190119.35+420225.7,,,
TIC 164889945,tic164889945,,,,,,,,,kepler1223,2massj19011098+4433099,kic8481129,koi2402,wisej190110.96+443309.9,,,
TIC 164890864,tic164890864,,,,,,,,,kepler295,2massj19012300+4522040,kic9006449,koi1413,wisej190123.00+452203.9,,,
TIC 164891054,tic164891054,,,,,,,,,kepler1635,2massj19012375+4533222,kic9141355,koi5622,wisej190123.78+453322.3,,,
TIC 164891482,tic164891482,,,,,,,,,kepler837,2massj19005920+4557007,kic9391208,koi1409,wisej190059.18+455700.8,,,
TIC 164892142,tic164892142,,,,,,,,,kepler878,2massj19011108+4636123,kic9818462,koi1521,wisej190111.10+463612.4,,,
TIC 164892194,tic164892194,,,,,,,,,kepler43,2massj19005780+4640057,gsc0354100075,kic9818381,koi135,wisej190057.80+464005.6,,
tic 1649643,tic1649643,,,,,,,,,,,,,,,,
TIC 164999822,tic164999822,,,,,,,,,kepler129,2massj19011470+4750549,kic10586004,koi275,wisej190114.69+475054.6,,,
TIC 165987272,tic165987272,,,,,,,,,kelt6,2massj13035564+3038241,bd+312447,tyc2532005561,wisej130355.64+303824.4,,,
TIC 166527623,tic166527623,,,,,,,,,hip67522,2massj135006274050090,cd408189,cpd406308,hd120411,tic166527623,tyc7794022681,wisej135006.25405009.0
TIC 166739520,tic166739520,wisej022706.17501704.0,,,,,,,,wasp117,1swaspj022706.09501704.3,2massj022706105017042,cd50714,cpd50346,gsc0805500876,sao232772,tyc80558761
TIC 166833457,tic166833457,,,,,,,,,wasp98,1swaspj035342.90341941.7,2massj035342913419414,wasp98a,wisej035342.94341941.6,,,
TIC 166836920,tic166836920,wisej023935.44500029.2,,,,,,,,wasp99,1swaspj023935.44500028.8,2massj023935445000288,cd50777,cpd50364,gsc0805600948,sao232849,tyc80569481
TIC 16740101,tic16740101,wisej203126.36+395620.0,,,,,,,,kelt9,2massj20312634+3956196,bd+394221,hd195689,hd195689a,hip101252,sao70152,tyc3157006381
TIC 168281028,tic168281028,,,,,,,,,hats38,2massj101705092516345,tic168281028,tyc66227941,wisej101705.06251634.5,,,
TIC 168699373,tic168699373,,,,,,,,,hatp44,2massj14123457+4700528,gsc0346500123,wisej141234.54+470053.1,,,,
TIC 168811723,tic168811723,,,,,,,,,kepler699,2massj19473316+4123459,kic6061119,koi846,,,,
TIC 168812474,tic168812474,,,,,,,,,kepler1532,2massj19473667+4111534,kic5895158,koi3935,,,,
TIC 168816237,tic168816237,,,,,,,,,kepler631,2massj19473258+4013416,kic5120087,koi639,wisej194732.57+401341.5,,,
TIC 169079027,tic169079027,,,,,,,,,kepler1680,2massj19481791+3956018,kic4857213,koi2120,wisej194817.91+395601.9,,,
TIC 169081296,tic169081296,,,,,,,,,kepler96,2massj19481670+4031304,kic5383248,koi261,wisej194816.74+403130.6,,,
TIC 169082553,tic169082553,,,,,,,,,kepler159,2massj19481684+4052076,kic5640085,koi448,wisej194816.85+405207.5,,,
TIC 169083837,tic169083837,,,,,,,,,kepler1331,2massj19481770+4113281,kic5980208,koi2742,wisej194817.70+411328.0,,,
TIC 169084431,tic169084431,,,,,,,,,kepler203,2massj19482159+4123169,kic6062088,koi658,wisej194821.58+412317.0,,,
TIC 169175503,tic169175503,,,,,,,,,kepler11,2massj19482762+4154328,kic6541920,koi157,wisej194827.62+415432.9,,,
TIC 169176157,tic169176157,,,,,,,,,kepler797,2massj19485015+4146541,kic6383821,koi1238,wisej194850.14+414653.9,,,
TIC 169176340,tic169176340,,,,,,,,,kepler501,2massj19484837+4143487,kic6383785,koi239,,,,
TIC 169176556,tic169176556,,,,,,,,,kepler494,2massj19485138+4139505,kic6305192,koi219,wisej194851.37+413950.4,,,
TIC 169180792,tic169180792,,,,,,,,,kepler348,2massj19490121+4032541,kic5384079,koi2011,wisej194901.21+403254.1,,,
TIC 169181786,tic169181786,,,,,,,,,kepler632,2massj19490062+4017189,kic5121511,koi640,wisej194900.59+401718.8,,,
TIC 169226822,tic169226822,,,,,,,,,wasp127,1swaspj104214.08035006.3,2massj104214070350062,wasp127a,wisej104214.09035006.0,,,
TIC 169457234,tic169457234,,,,,,,,,kepler1669,2massj19494329+3950522,kic4770365,koi1475,wisej194943.27+395052.2,,,
TIC 169459324,tic169459324,,,,,,,,,kepler1378,2massj19492959+4021590,kic5209845,koi2883,,,,
TIC 169461816,tic169461816,,,,,,,,,koi12,2massj19494889+4100395,kic5812701,kepler448,tyc31403491,wisej194948.89+410039.6,,
TIC 169462917,tic169462917,,,,,,,,,kepler99,2massj19492496+4118001,kic6063220,koi305,kepler99b,wisej194924.96+411800.2,,
TIC 169463893,tic169463893,,,,,,,,,kepler1057,2massj19494851+4133292,kic6226290,koi2019,,,,
TIC 169465273,tic169465273,,,,,,,,,kepler913,2massj19501994+4157087,kic6543893,koi1627,wisej195020.06+415708.5,,,
TIC 169466684,tic169466684,,,,,,,,,kepler1546,2massj19502014+4132284,kic6226908,koi4068,,,,
TIC 169556162,tic169556162,,,,,,,,,kepler582,2massj19500088+4103252,kic5812960,koi507,wisej195000.89+410325.4,,,
TIC 169556484,tic169556484,,,,,,,,,kepler433,2massj19502247+4058381,kic5728139,koi206,wisej195022.46+405838.0,,,
TIC 169557750,tic169557750,,,,,,,,,kepler899,2massj19495582+4040508,kic5470739,koi1585,,,,
TIC 169561256,tic169561256,,,,,,,,,kepler1154,2massj19495451+3952380,kic4770617,koi2243,,,,
TIC 169930145,tic169930145,,,,,,,,,kepler307,2massj19511083+4025037,kic5299459,koi1576,wisej195110.82+402503.6,,,
TIC 169931288,tic169931288,,,,,,,,,kepler1238,2massj19513739+4009462,kic5036705,koi2437,wisej195137.39+400946.1,,,
TIC 170102285,tic170102285,,,,,,,,,wasp23,1swaspj064430.59424542.5,2massj064430624245425,wisej064430.60424543.5,,,,
TIC 170236331,tic170236331,,,,,,,,,kepler1672,2massj19514564+4016430,kic5124667,koi1822,wisej195145.63+401642.9,,,
TIC 170241112,tic170241112,,,,,,,,,kepler1565,2massj19514871+4048245,kic5644412,koi4194,,,,
TIC 170251516,tic170251516,,,,,,,,,kepler912,2massj19522668+4145300,kic6387542,koi1626,wisej195226.69+414529.8,,,
TIC 170344769,tic170344769,,,,,,,,,kepler1647,2massj19523602+4039222,kic5473556,koi2939,kepler1647a,wisej195236.01+403921.8,,
TIC 170346081,tic170346081,,,,,,,,,kepler1508,2massj19522853+4022301,kic5213404,koi3468,wisej195228.53+402230.3,,,
TIC 170348142,tic170348142,,,,,,,,,ph1,2massj19525162+3957183,kic4862625,koi6464,kepler64,ph1aa,wisej195251.62+395718.2,
TIC 170634116,tic170634116,wisej042529.01303601.5,,,,,,,,wasp79,1swaspj042529.01303601.5,2massj042529013036016,cd301812,gsc0703800834,montuno,sao195000,tyc7038008341
TIC 170646917,tic170646917,,,,,,,,,kepler84,2massj19530049+4029458,kic5301750,koi1589,wisej195300.48+402945.9,,,
TIC 170647523,tic170647523,,,,,,,,,koi1599,2massj19532972+4037063,kic5474613,kepler1659,wisej195329.69+403706.1,,,
TIC 170733187,tic170733187,,,,,,,,,kepler929,2massj19535546+4136552,kic6310636,koi1688,wisej195355.46+413655.2,,,
TIC 171029578,tic171029578,,,,,,,,,kepler911,2massj19542140+4045024,kic5561278,koi1621,wisej195421.40+404502.5,,,
TIC 171098231,tic171098231,,,,,,,,,kepler1309,2massj19545645+4045509,kic5562090,koi2664,wisej195456.44+404551.1,,,
TIC 171502232,tic171502232,,,,,,,,,kepler1316,2massj19552061+4017353,kic5128673,koi2698,wisej195520.59+401735.0,,,
TIC 171510762,tic171510762,,,,,,,,,kepler539,2massj19562938+4152003,kic6471021,koi372,wisej195629.39+415200.4,,,
TIC 171879024,tic171879024,,,,,,,,,kepler305,2massj19565383+4020354,kic5219234,koi1563,wisej195653.83+402035.4,,,
TIC 171882123,tic171882123,,,,,,,,,kepler48,2massj19563341+4056564,kic5735762,koi148,wisej195633.41+405656.1,,,
TIC 171884427,tic171884427,,,,,,,,,kepler118,2massj19565115+4125293,kic6152974,koi216,wisej195651.16+412529.2,,,
TIC 171968443,tic171968443,,,,,,,,,kepler703,2massj19564484+4144336,kic6392727,koi851,wisej195644.84+414433.7,,,
TIC 171971913,tic171971913,,,,,,,,,kepler519,2massj19571668+4123047,kic6071903,koi306,kepler519a,wisej195716.68+412304.8,,
TIC 171974763,tic171974763,,,,,,,,,kepler695,2massj19571586+4049205,kic5651104,koi840,wisej195715.83+404921.0,,,
TIC 172370679,tic172370679,,,,,,,,,toi1899,2massj19574239+4008357,tic172370679,wisej195742.42+400835.9,,,,
TIC 172373693,tic172373693,,,,,,,,,kepler399,2massj19580041+4040148,kic5480640,koi2707,wisej195800.41+404014.5,,,
TIC 172422725,tic172422725,,,,,,,,,kepler1347,2massj19583830+4050378,kic5652893,koi2790,wisej195838.30+405037.8,,,
TIC 172598832,tic172598832,,,,,,,,,hats40,2massj064217102946365,gsc653301514,,,,,
TIC 176220787,tic176220787,,,,,,,,,wasp136,1swaspj000118.17085534.6,2massj000118180855347,wisej000118.17085534.5,,,,
TIC 176685457,tic176685457,,,,,,,,,ngts9,2massj092740961920515,tic176685457,wisej092740.95192051.5,,,,
TIC 176860064,tic176860064,,,,,,,,,,,,,,,,
TIC 176899385,tic176899385,,,,,,,,,hatp6,2massj23390581+4227575,sterrennacht,tyc3239009921,wisej233905.79+422757.5,,,
TIC 176910179,tic176910179,,,,,,,,,k2249,2massj121328010859425,epic228748383,tyc55194331,wisej121328.01085942.7,,,
TIC 176938958,tic176938958,,,,,,,,,k2226,2massj121434980933454,epic228736155,wisej121434.96093345.4,,,,
TIC 17746821,tic17746821,,,,,,,,,hatp50,2massj07521521+1208218,gsc078700340,wisej075215.22+120821.7,,,,
TIC 178155732,tic178155732,sao193951,tic178155732,toi396,tyc7012008331,wisej025156.34304851.1,,,,hr858,2massj025156233048524,cd311148,cpd31335,hd17926,hip13363,hr858a,iras024983101
TIC 178284730,tic178284730,,,,,,,,,wasp140,1swaspj040132.53202703.9,2massj040132542027039,gsc0588800206,tyc58882061,wasp140a,wisej040132.54202703.8,
TIC 178289267,tic178289267,,,,,,,,,hats57,2massj040347601903242,tyc58856631,wisej040347.59190324.4,,,,
TIC 178367144,tic178367144,,,,,,,,,wasp180a,1swaspj081334.15015857.9,2massj081334160158579,tic178367144,wds081360159a,wisej081334.15015857.8,,
TIC 178819686,tic178819686,,,,,,,,,toi763,2massj125752453945275,cd397945,tic178819686,wisej125752.37394528.5,,,
TIC 178879588,tic178879588,,,,,,,,,hats63,2massj042940442811501,wisej042940.45281150.0,,,,,
TIC 179317684,tic179317684,,,,,,,,,toi163,2massj051904357153441,hd271181,tic179317684,wisej051904.36715343.9,,,
TIC 17993892,tic17993892,,,,,,,,,hatp21,2massj11250598+4101406,tyc3013012291,wisej112505.98+410140.8,,,,
TIC 181804752,tic181804752,,,,,,,,,lp79118,2massj110245961624222,tic181804752,toi736,wisej110245.79162422.8,,,
TIC 183120439,tic183120439,,,,,,,,,toi169,2massj010706797511559,tic183120439,wisej010706.81751156.1,,,,
TIC 183532609,tic183532609,,,,,,,,,wasp8,1swaspj235936.07350152.9,2massj235936073501530,tyc7522005051,wasp8a,wisej235936.16350153.1,,
TIC 183537452,tic183537452,,,,,,,,,wasp29,1swaspj235131.08395424.2,2massj235131083954241,tyc8015010201,wisej235131.02395425.1,,,
TIC 183985250,tic183985250,toi193,tyc8015011621,wisej235440.43373741.2,,,,,,ltt9779,2massj235440203737408,cd3815670,cpd388578,hip117883,nltt58368,sao214854,tic183985250
TIC 184008951,tic184008951,,,,,,,,,kepler1283,2massj19415096+4046371,kic5546691,koi2587,wisej194150.96+404636.8,,,
TIC 184009076,tic184009076,,,,,,,,,kepler1125,2massj19415549+4043551,kic5546761,koi2160,wisej194155.49+404354.9,,,
TIC 184009313,tic184009313,,,,,,,,,kepler581,2massj19414386+4038536,kic5461440,koi504,wisej194143.85+403853.6,,,
TIC 184011870,tic184011870,,,,,,,,,kepler1625,2massj19414304+3953115,kic4760478,koi5084,,,,
TIC 184014439,tic184014439,,,,,,,,,kepler1382,2massj19413057+3902529,kic3969687,koi2904,wisej194130.58+390253.0,,,
TIC 184015535,tic184015535,,,,,,,,,kepler377,2massj19414128+3844084,kic3661886,koi2279,wisej194141.28+384408.4,,,
TIC 184015844,tic184015844,,,,,,,,,kepler1487,2massj19415954+3838402,kic3561464,koi3398,wisej194159.53+383840.1,,,
TIC 184085929,tic184085929,,,,,,,,,kepler516,2massj19422610+3844086,kic3662838,koi302,wisej194226.10+384408.6,,,
TIC 184088195,tic184088195,,,,,,,,,kepler1608,2massj19421525+3925033,kic4381429,koi4474,,,,
TIC 184090767,tic184090767,,,,,,,,,kepler199,2massj19421426+4014105,kic5113822,koi638,wisej194214.22+401410.3,,,
TIC 184162776,tic184162776,,,,,,,,,kepler308,2massj19430843+4026223,kic5289854,koi1593,wisej194308.53+402622.5,,,
TIC 184164097,tic184164097,,,,,,,,,kepler328,2massj19431423+4000306,kic4939346,koi1873,wisej194314.22+400030.6,,,
TIC 184164411,tic184164411,,,,,,,,,kepler1551,2massj19430852+3954285,kic4850961,koi4092,wisej194308.48+395428.8,,,
TIC 184166357,tic184166357,,,,,,,,,kepler1405,2massj19424436+3915221,kic4175630,koi2998,,,,
TIC 184167421,tic184167421,,,,,,,,,kepler379,2massj19424826+3856449,kic3867615,koi2289,wisej194248.25+385644.9,,,
TIC 184240683,tic184240683,,,,,,,,,wasp5,1swaspj235723.74411637.5,2massj235723754116377,wisej235723.76411637.8,,,,
TIC 184247532,tic184247532,,,,,,,,,kepler340,2massj19434403+4018020,kic5202905,koi1932,wisej194344.02+401802.0,,,
TIC 184296619,tic184296619,,,,,,,,,kepler80,2massj19442701+3958436,kic4852528,koi500,wisej194427.01+395843.5,,,
TIC 184298883,tic184298883,,,,,,,,,kepler1502,2massj19442589+3919116,kic4282191,koi3439,wisej194425.89+391911.6,,,
TIC 184299435,tic184299435,,,,,,,,,kepler817,2massj19441964+3909418,kic4076098,koi1323,,,,
TIC 184300256,tic184300256,,,,,,,,,kepler789,2massj19435403+3856479,kic3869014,koi1205,,,,
TIC 184417262,tic184417262,,,,,,,,,kepler1326,2massj19445331+3916082,kic4178606,koi2728,,,,
TIC 184417625,tic184417625,,,,,,,,,kepler818,2massj19445642+3922132,kic4282872,koi1325,wisej194456.39+392212.9,,,
TIC 184418214,tic184418214,,,,,,,,,kepler1384,2massj19445164+3931373,kic4483138,koi2910,,,,
TIC 184426431,tic184426431,,,,,,,,,kepler1641,2massj19452626+4134283,kic6221385,koi6145,wisej194526.26+413428.3,,,
TIC 184428068,tic184428068,,,,,,,,,kepler1289,2massj19453331+4102260,kic5807769,koi2614,wisej194533.30+410225.9,,,
TIC 184471242,tic184471242,,,,,,,,,kepler58,2massj19452607+3906546,kic4077526,koi1336,wisej194526.07+390654.6,,,
TIC 184554925,tic184554925,,,,,,,,,kepler472,2massj19460582+3914591,kic4180280,koi144,wisej194605.87+391459.4,,,
TIC 184559893,tic184559893,,,,,,,,,kepler1626,2massj19460010+4043164,kic5551240,koi5178,wisej194600.07+404316.1,,,
TIC 184561612,tic184561612,,,,,,,,,kepler1653,2massj19454986+4115576,kic5977470,koi4550,wisej194549.84+411557.6,,,
TIC 184997417,tic184997417,,,,,,,,,kepler106,2massj20032735+4420151,kic8395660,koi116,wisej200327.36+442015.2,,,
TIC 185057567,tic185057567,,,,,,,,,kepler946,2massj20034310+4401436,kic8197343,koi1746,wisej200343.09+440143.4,,,
TIC 185062313,tic185062313,,,,,,,,,kepler1571,2massj20034449+4535475,kic9183378,koi4222,wisej200344.50+453547.5,,,
TIC 185408817,tic185408817,,,,,,,,,kepler436,2massj20065298+4424434,kic8463346,koi2529,wisej200652.98+442443.5,,,
TIC 188570092,tic188570092,,,,,,,,,hats72,2massj223606311659597,tic188570092,toi294,wasp191,wisej223606.24170000.6,,
TIC 189380158,tic189380158,,,,,,,,,hatp53,2massj01272906+3858053,gsc281301266,wisej012729.06+385805.2,,,,
TIC 189625051,tic189625051,,,,,,,,,hats64,2massj093709022948015,wisej093709.02294801.5,,,,,
TIC 190998418,tic190998418,,,,,,,,,qatar5,2massj00281293+4203407,wisej002812.94+420340.9,,,,,
TIC 191284318,tic191284318,,,,,,,,,hatp16,2massj00381756+4227470,hatp16a,tyc2792017001,wisej003817.54+422747.1,,,
TIC 192826603,tic192826603,,,,,,,,,ngts1,2massj053051453637508,wisej053051.42363751.3,,,,,
TIC 193641523,tic193641523,,,,,,,,,toi824,2massj144839825735175,scrj14485735,tic193641523,tyc86889151,wisej144839.69573519.0,,
TIC 19684256,tic19684256,,,,,,,,,hats52,2massj092021053116095,gsc715301785,wisej092021.05311609.3,,,,
TIC 197643976,tic197643976,,,,,,,,,ngts14a,2massj215404233822388,tic197643976,wisej215404.17382238.7,,,,
TIC 198108326,tic198108326,,,,,,,,,hatp12,2massj13573347+4329367,wisej135733.33+432936.1,,,,,
TIC 198588220,tic198588220,,,,,,,,,hatp67,2massj17062656+4446371,bd+442654,gsc0308400533,hatp67a,tyc3084005331,wisej170626.57+444636.9,
TIC 199376584,tic199376584,,,,,,,,,hd332231,2massj20265791+3344401,bd+333908,sao70040,tic199376584,toi1456,tyc2689701,wisej202657.88+334439.9
TIC 199671901,tic199671901,,,,,,,,,hatp40,2massj22220308+4527265,gsc0360701028,tyc3607010281,taika,wisej222203.10+452726.3,,
TIC 200322593,tic200322593,,,,,,,,,toi540,2massj050514434756154,tic200322593,wisej050514.35475615.3,,,,
TIC 20096620,tic20096620,,,,,,,,,hatp13,2massj08393180+4721073,tyc3416005431,wisej083931.78+472107.0,,,,
TIC 201248411,tic201248411,tyc8464012001,wisej000044.64544950.4,,,,,,,hip65a,2massj000044905449498,cd559423,cpd5510134,hip65,ltt9847,tic201248411,toi129
TIC 201604954,tic201604954,,,,,,,,,hats29,2massj190023145453354,gsc876300475,wisej190023.15545335.8,,,,
TIC 201642601,tic201642601,,,,,,,,,hats48a,2massj191441265934458,tic201642601,toi1067,wisej191441.26593445.7,,,
TIC 203189770,tic203189770,,,,,,,,,kelt21,2massj20191200+3234517,hd332124,tyc267612741,wisej201912.00+323451.7,,,
TIC 204317710,tic204317710,,,,,,,,,hats32,2massj230418012116189,gsc640000924,wisej230418.02211619.2,,,,
TIC 204376737,tic204376737,,,,,,,,,wasp6,1swaspj231237.75224026.1,2massj231237732240261,m&aacute;rohu,wisej231237.72224026.7,,,
TIC 207077681,tic207077681,,,,,,,,,wasp144,1swaspj212303.08400253.6,2massj212303094002537,wisej212303.08400254.1,,,,
TIC 209752908,tic209752908,,,,,,,,,wendelstein2,2massj19510980+1654451,tic209752908,wisej195109.82+165445.3,,,,
TIC 21113347,tic21113347,,,,,,,,,hats58a,2massj122708984858423a,wisej122708.96485842.4a,,,,,
TIC 211438925,tic211438925,,,,,,,,,wasp20,2massj002038532356086,cd24102,gsc0641300439,tyc64134391,wasp20a,wisej002038.53235608.7,
TIC 21744120,tic21744120,,,,,,,,,hatp18,2massj17052315+3300450,wisej170523.13+330044.6,,,,,
TIC 219698950,tic219698950,,,,,,,,,hats1,2massj114206082321174,gsc0665200186,wisej114206.06232117.4,,,,
TIC 220029715,tic220029715,,,,,,,,,hats7,2massj135525672112276,gsc614800422,wisej135525.63211228.0,,,,
TIC 220323515,tic220323515,,,,,,,,,corotid223977153,2massj06404684+0915267,corot32,wisej064046.84+091526.6,,,,
TIC 22221375,tic22221375,tyc6604008751,wisej095629.71240557.2,,,,,,,hd86226,2massj095629842405576,cd238866,cpd234756,hip48739,sao178205,tic22221375,toi652
TIC 224225541,tic224225541,,,,,,,,,toi251,2massj233214833715212,tic224225541,tyc7520003691,wisej233214.87371520.9,,,
TIC 22529346,tic22529346,,,,,,,,,wasp121,1swaspj071024.05390550.5,2massj071024063905506,tyc76303521,wisej071024.05390550.3,,,
TIC 228381868,tic228381868,,,,,,,,,wasp165,2massj235019321704392,wisej235019.34170439.3,,,,,
TIC 229047362,tic229047362,,,,,,,,,wasp25,1swaspj130126.36273120.0,2massj130126372731199,tyc6706008611,wisej130126.35273119.9,,,
TIC 229791084,tic229791084,,,,,,,,,qatar10,2massj18574655+6934151,wisej185746.55+693415.0,,,,,
TIC 230982885,tic230982885,,,,,,,,,wasp97,1swaspj013825.04554619.4,2massj013825045546194,cd56324,cpd56326,gsc0847801241,tyc847812411,wisej013825.17554619.2
TIC 231663901,tic231663901,,,,,,,,,wasp46,2massj211456875552184,wisej211456.88555218.5,,,,,
TIC 231670397,tic231670397,wisej211947.92580856.0,,,,,,,,wasp73,1swaspj211947.91580856.0,2massj211947905808559,cd588036,cpd587830,gsc0880500131,hd202678,tyc8805001311
TIC 231702397,tic231702397,,,,,,,,,toi122,2massj221147285856422,tic231702397,wisej221147.48585644.6,,,,
TIC 232038798,tic232038798,,,,,,,,,wasp168,1swaspj062658.70464917.1,2massj062658714649171,wasp168a,wisej062658.71464917.0,,,
TIC 233948455,tic233948455,,,,,,,,,tres5,2massj20205324+5926556,wisej202053.26+592655.9,,,,,
TIC 234112540,tic234112540,,,,,,,,,corot5,2massj06450653+0048548,corotexo5,corotid102764809,wisej064506.52+004854.7,,,
TIC 234523599,tic234523599,,,,,,,,,hats71,2massj010212266145216,tic234523599,toi127,wisej010212.39614521.9,,,
TIC 234825296,tic234825296,,,,,,,,,corot20,2massj06305289+0013369,wisej063052.89+001337.0,,,,,
TIC 234994474,tic234994474,tyc9126007481,wisej232007.06600355.8,,,,,,,l1689,2massj232007516003545,cd608051,gj4332,hip115211,ltt9494,tic234994474,toi134
TIC 236312126,tic236312126,,,,,,,,,xo1,2massj16021184+2810105,bd+282507,moldoveanu,tyc2041016571,wisej160211.83+281010.6,,
TIC 236445129,tic236445129,,,,,,,,,kelt16,2massj20570443+3139397,tyc268818391,wisej205704.44+313939.6,,,,
TIC 236887394,tic236887394,,,,,,,,,qatar1,2massj20133160+6509433,wisej201331.63+650944.0,,,,,
TIC 237157729,tic237157729,,,,,,,,,kepler704,2massj18531593+4150136,kic6422070,koi852,wisej185315.92+415013.7,,,
TIC 237157751,tic237157751,,,,,,,,,kepler172,2massj18532841+4149186,kic6422155,koi510,wisej185328.40+414919.0,,,
TIC 237157859,tic237157859,,,,,,,,,kepler1230,2massj18530348+4142412,kic6343170,koi2419,wisej185303.48+414241.2,,,
TIC 237158274,tic237158274,,,,,,,,,kepler132,2massj18525659+4120349,kic6021275,koi284,kepler132a,wisej185256.57+412034.9,,
TIC 237158408,tic237158408,,,,,,,,,kepler1540,2massj18532267+4112062,kic5938970,koi4016,kepler1540a,wisej185322.67+411206.2,,
TIC 237158650,tic237158650,,,,,,,,,kepler546,2massj18530182+4059257,kic5683743,koi412,,,,
TIC 237159318,tic237159318,,,,,,,,,kepler693,2massj18530085+4021295,kic5164255,koi824,wisej185300.84+402129.5,,,
TIC 237188153,tic237188153,,,,,,,,,kepler1017,2massj18535264+4007573,kic4989057,koi1923,wisej185352.64+400757.0,,,
TIC 237188565,tic237188565,,,,,,,,,kepler580,2massj18535995+4033100,kic5340644,koi503,wisej185359.94+403310.0,,,
TIC 237191392,tic237191392,,,,,,,,,kepler1566,2massj18542102+4034297,kic5340878,koi4199,wisej185421.01+403429.6,,,
TIC 237192046,tic237192046,,,,,,,,,kepler1026,2massj18542526+3959527,kic4813563,koi1959,wisej185425.26+395952.5,,,
TIC 237320326,tic237320326,,,,,,,,,wasp164,2massj225929626026519,wisej225929.64602652.0,,,,,
TIC 237913194,tic237913194,,,,,,,,,tic237913194,2massj012946946044238,toi2179,wisej012946.97604423.7,,,,
TIC 238176110,tic238176110,,,,,,,,,wasp91,2massj235122867009103,tyc934216751,wisej235123.05700910.3,,,,
TIC 239154970,tic239154970,,,,,,,,,hatp33,2massj07324421+3350061,tyc2461009881,wisej073244.21+335006.1,,,,
TIC 239227652,tic239227652,,,,,,,,,kepler755,2massj19472664+4105504,kic5809890,koi1050,kepler755a,wisej194726.61+410550.0,,
TIC 239229224,tic239229224,,,,,,,,,kepler171,2massj19470525+4145199,kic6381846,koi509,wisej194705.26+414520.2,,,
